A,09TS,PITCOCK ROSILLOS MOU,29.482631,-103.162978,3100,0,0,4000,0
A,0AA1,YAKATAGA,60.080850,-142.495494,16,18000,18000,4300,0
A,0AA4,FAREWELL,62.509183,-153.890628,1535,18000,18000,4600,0
A,0AK8,FIREWEED,61.426878,-142.978833,1320,18000,18000,2000,0
A,0AR3,BENT HICKORY AIR RAN,34.328028,-93.259289,550,0,0,1500,0
A,0CA0,POM WONDERFUL AIRSTR,36.652744,-119.587114,340,0,0,3000,0
A,0CD5,PINON CANYON,37.490683,-104.144125,5686,0,0,5000,0
A,0CL3,NICHOLS,32.633372,-116.890311,500,18000,18000,2000,0
A,0CN1,FIORINI RANCH,37.452178,-120.764758,140,18000,18000,2200,0
A,0CN2,SUTTER BUTTE DUSTERS,39.228622,-121.688264,67,0,0,2400,0
A,0CO2,CRESTED BUTTE,38.851936,-106.932819,8980,18000,18000,4000,0
A,0FD4,YODER FLD,30.607486,-85.025292,138,0,0,2300,0
A,0FL0,HARPERS FLY-IN RANCH,26.708039,-81.175708,22,0,0,2300,0
A,0GA9,GENTLE LANDINGS AIR ,32.713594,-84.028539,505,0,0,3500,0
A,0GE3,LOOKOUT MOUNTAIN,34.902803,-85.460406,646,0,0,2000,0
A,0IA4,SHARAR FLD,41.027844,-91.063472,700,0,0,3000,0
A,0ID2,FLYING JOSEPH RANCH,44.443831,-113.775089,5642,18000,18000,7500,0
A,0ID9,CORRAL CREEK,46.785278,-116.471131,2895,18000,18000,2300,0
A,0IL7,DAVIS RLA,39.782917,-88.546708,682,0,0,2000,0
A,0IN4,AIR PARK FLD,41.142047,-84.909006,750,0,0,2200,0
A,0KS2,LEVERTON,37.393908,-97.151486,1251,0,0,2000,0
A,0KS5,OASIS AERODROME,38.450667,-98.799669,1914,0,0,2500,0
A,0KS6,MOORE HOMESTEAD,38.787258,-99.440058,2100,0,0,2400,0
A,0KS7,MONO AIRCRAFT,37.700186,-97.887219,1510,0,0,2000,0
A,0KS8,PEARCE FLD,37.381572,-95.375894,952,0,0,1500,0
A,0KS9,LMN 120,37.515561,-96.921606,1330,0,0,3000,0
A,0MO3,VEACH FLD,38.624925,-94.521658,950,0,0,2200,0
A,0MO6,HARRISON,40.076611,-92.319281,875,0,0,2000,0
A,0MS0,TOPTON AIR ESTATES,32.475192,-88.616942,452,0,0,3200,0
A,0MT6,HANSON,48.037689,-114.674619,3947,0,0,2400,0
A,0MU9,RPM,37.337789,-93.164078,1282,0,0,900,0
A,0NE9,FLYING V,40.867764,-97.353850,1585,18000,18000,3000,0
A,0NM7,NEGRITO,33.520894,-108.542836,8143,18000,18000,7500,0
A,0OH5,FREEMAN SWANK FARMS,40.596831,-82.431731,1071,18000,18000,3000,0
A,0PA3,ROBBINS FARM,41.747283,-76.760403,1455,0,0,1900,0
A,0TA8,B FLYING RANCH,30.670833,-99.331944,1400,18000,18000,1200,0
A,0TE4,HILLTOP LAKES,31.080808,-96.214981,502,18000,18000,3000,0
A,0TE7,LBJ RANCH,30.251814,-98.622531,1515,18000,18000,6200,0
A,0TX1,PECAN PLANTATION,32.353689,-97.676150,712,18000,18000,3600,0
A,0TX6,ELM CREEK AIRPARK,29.505042,-97.997147,550,0,0,1900,0
A,0TX7,TWISTED JS,33.092944,-96.390028,597,0,0,1200,0
A,0WA1,DWIGHT,46.617050,-122.826233,350,18000,18000,2000,0
A,0XA4,SEVEN CS RANCH,27.997111,-98.882861,336,18000,18000,5000,0
A,0XA5,74 RANCH,28.685383,-98.383117,317,18000,18000,3800,0
A,0XS2,JOHN FIELDS RANCH,30.555453,-100.531250,2342,0,0,3700,0
A,0XS7,ANACACHO RANCH,29.194019,-100.280181,1067,18000,18000,6000,0
A,10AR,HICKORY RIDGE,34.262861,-92.121611,320,18000,18000,2500,0
A,10CO,MACK MESA,39.268111,-108.864028,4724,18000,18000,2600,0
A,10FA,FLYING BARON ESTATES,28.797489,-81.935914,75,18000,18000,2500,0
A,10IN,FENCE FLD,39.159239,-87.099836,560,0,0,1300,0
A,10LS,LEJEUNE AERIAL APPLI,30.491833,-92.572844,46,0,0,2700,0
A,10MO,FLYING V RANCH,38.918175,-91.683100,830,0,0,1400,0
A,10TS,2C RANCH,31.997881,-94.799817,489,0,0,1500,0
A,10TT,ROSSER RANCH,33.015111,-98.626083,1112,18000,18000,3600,0
